,repository_name,linguagens
73,ai-on-z-101,HTML
74,ai-on-z-containers,Python
75,ai-on-z-fraud-detection,Jupyter Notebook
76,ai-on-z-samples,Jupyter Notebook
77,ai-on-z-tensorflow-zcx,Java
78,ai-on-z-triton-is-examples,Python
79,ai-on-z-wmlzce-zos,Java
80,ai-privacy-toolkit,Python
81,AI-SDK-Db2-IBMi,Shell
82,ai-toolkit-for-z-and-linuxone,
83,ai4rag,Python
84,AIBroker,
85,aidc-samples,Jupyter Notebook
86,aihn-ucsd,Jupyter Notebook
87,aihwkit,Jupyter Notebook
88,aihwkit-lightning,Python
89,AIMMX,Python
90,aiops-accelerate-tools,Shell
91,aiops-insights-tools,Shell
92,aiops-pot,JavaScript
93,aiops-ui-extension-toolkit,TypeScript
94,aiopsctl,
95,AIPlanningService,JavaScript
96,air-traffic-control,Swift
97,airexit,JavaScript
98,airlock-console,CSS
99,airlock-sdk-android,
100,airlock-sdk-common,Java
101,airlock-sdk-ios,Swift
102,airlock-sdk-java,Java
103,airlock-sdk-rest,Java
104,airlytics-backend,Java
105,aistats-24-inconsistent-feedback-clustering,Python
106,AISteer360,Python
107,AITQA,
108,aiu-trace-analyzer,Python
109,aix-ai-sample-wmlce,Python
110,akamai-g2o-java,Java
111,Akka-cluster-deploy-kubernetes,HTML
112,akka-react-cloudant,CSS
113,akka-stream-message-hub,Scala
114,akora-renderer-react,JavaScript
115,alchemy-config,Python
116,alchemy-logging,Python
117,alchemy-logging-vscode-extensions,TypeScript
118,alexa-skill-watson-assistant,JavaScript
119,ALIA,C++
120,aligned_diffusion_bridges,Jupyter Notebook
121,AML-Data,
122,AMLPipelineBase.jl,Julia
123,AMLSim,Python
124,AMR-annotations,
125,AMR-CSLogic,Jupyter Notebook
126,AMT,Jupyter Notebook
127,anaconda-cpd-mortgage-approval,Jupyter Notebook
128,analog-foundation-models,Python
129,analog-moe,Python
130,analog-nas,Jupyter Notebook
131,Analysing-Medical-Transcipts-using-Project-Debater,Jupyter Notebook
132,analytics-accelerator-capture-replay,Java
133,AnalyticsEngine,Shell
134,analyze-batch-job-z,
135,analyze-customer-data-spark-pixiedust,Jupyter Notebook
136,analyze-insights-on-startup-using-watson-studio,Jupyter Notebook
137,Analyze-Investment-Portfolio,JavaScript
138,analyze-satellite-data,Jupyter Notebook
139,analyze_ecommerce_websites_and_recommend_optimal_price,HTML
140,analyzing-insurance-claims-using-ibm-db2-graph,Jupyter Notebook
141,Anchor-Selection,
142,android-app,Java
143,android-kubernetes-blockchain,Java
144,android-push-app,HTML
145,angular-authentication-webapp-verify,TypeScript
146,angular-vanilla-authentication-webapp,TypeScript
147,annotations2clips,Python
148,anomaly-detection-code-pattern,Jupyter Notebook
149,anomaly-prediction-streams-singlestore-cp4d,Java
150,Anonymized-ETL-Flow-Datasets-for-FSM,Python
151,ansible-automation-for-lmt,
152,Ansible-Automation-Platform-L3,HTML
153,ansible-for-i,Python
154,ansible-for-i-sap,Jinja
155,ansible-for-i-usecases,
156,ansible-kubernetes-ha-cluster,Shell
157,ansible-lifecycle-driver,Python
158,Ansible-OpenShift-Provisioning,YAML
159,ansible-playbook-analyzer,Python
160,ansible-power-aix,Python
161,ansible-power-aix-oracle,Jinja
162,ansible-power-aix-oracle-dba,Jinja
163,ansible-power-aix-sap,Shell
164,ansible-power-hmc,Python
165,ansible-power-linux-sap,Jinja
166,ansible-power-vios,Python
167,ansible-powervc,Python
168,ansible-role-infosvr,Dockerfile
169,ansible-role-infosvr-import-export,Python
170,ansible-role-infosvr-metadata-asset-manager,Python
171,ansible-role-infosvr-openigc,
172,ansible-scale-demo,
173,ansible-storage-protect,Python
174,answer-type-prediction,Python
175,anz-developer-advocacy-code-of-conduct,
176,apa-vs-code-extension,
177,API-BLEND,Python
178,api-coe,
179,api-connect-enablement,
180,api-connect-oauth-tutorial,
181,api-connect-workshop,
182,api-integrated-llm-experiment,Python
183,api-led-integration-using-ibm-cloud-pak-for-integration,
184,api-samples,Python
185,API4JSON,HTML
186,apic-latency-analytics,Python
187,apiconnect-trawler,Go
188,apigateway-go-sdk,Go
189,app-mod-journey,JavaScript
190,app-modernization-coexistence-layer,Java
191,appconfiguration-android-client-sdk,Kotlin
192,appconfiguration-go-admin-sdk,Go
193,appconfiguration-go-sdk,Go
194,appconfiguration-java-sdk,Java
195,appconfiguration-js-client-sdk,TypeScript
196,appconfiguration-node-sdk,JavaScript
197,appconfiguration-python-sdk,Python
198,appconfiguration-razee,JavaScript
199,appconfiguration-react-client-sdk,TypeScript
200,appconfiguration-rust-sdk,Rust
201,appconfiguration-samples,HTML
202,AppConnectWorkshop,
203,appid-management-go-sdk,Go
204,appid-spring-boot-example,HTML
205,appid-spring-boot-starter,Java
206,AppIdR,R
207,Apple-Indoor-Maps,HTML
208,application-development-accelerators,
209,application-modernization-javaee-quarkus,Java
210,application-optimization-accelerator,
211,application-simulator,HTML
212,applications-integration-using-ibm-cloud-pak-for-integration,Java
213,appmod-app-modernization,Java
214,appmod-resorts,Java
215,appmod-resorts-final,Java
216,AppModDemos,
217,appnav,
218,AppRuntimesOpenShiftDay2Labs,Python
219,appscan-presence-docker,
220,appsody-sample-quote-app,Java
221,appsody-template-object-storage-tutorial,Python
222,Apptio-Tools,Python
223,Apptio-Tools-Lib,Python
224,ar-resume-with-visual-recognition,Swift
225,arcade,Python
226,archetype-streams,
227,architecture-center,
228,ares,Python
229,ARTEMIS-DSE,Python
230,ASL-Pytorch,Jupyter Notebook
231,asoc-devops-tooling,Groovy
232,asoc_faas,Python
233,aspera-cli,Ruby
234,aspera-connect-sdk-js,TypeScript
235,aspera-faspio-gateway-examples,Shell
236,aspera-hsts-operator-tools,Shell
237,aspera-on-cloud-file-previews,Python
238,aspera-sdk-js,TypeScript
239,asset-lifecycle-management-reference-architecture,EJS
240,AssetOpsBench,HTML
241,assetTracking,JavaScript
242,atari-active-learning,Python
243,atgp-public,
244,atlas,TypeScript
245,auction-events,JavaScript
246,audioset-classification,Python
247,audio_search_on_podcasts,JavaScript
248,audit-ci,TypeScript
249,augment-visual-recognition-detection-of-low-resolution-human-faces,Jupyter Notebook
250,augment-watson-services-to-whatsapp,JavaScript
251,augment-watson-services-to-whatsapp-2,Python
252,augmented-reality-powered-interior-decorator,Java
253,authenticate-users-on-your-chatbot-with-sms-otp,HTML
254,auto-contrastive-generation,Python
255,auto-format-edit-text,Java
256,auto-kubeflow,HCL
257,auto-transfer,
258,AutoAI-code-generation,Jupyter Notebook
259,autoai4text-resources,Jupyter Notebook
260,autoencoders-using-tensorflow,
261,automate-cert-manager,JavaScript
262,automate-deployments-on-openshift,Shell
263,automated-visual-analysis,Python
264,automating-container-security,
265,automation,JavaScript
266,automation-aws-infra-openshift,HCL
267,automation-azure-infra-openshift,HCL
268,automation-cp4s,HCL
269,automation-data-fabric,HCL
270,automation-data-foundation,HCL
271,automation-ibmcloud-infra-openshift,HCL
272,automation-ibmcloud-infra-zos-dev,HCL
273,automation-integration-platform,HCL
274,automation-maximo-app-suite,HCL
275,automation-of-image-data-preprocessing,Python
276,automation-sterling-oms,
277,automation-turbonomic,Shell
278,AutoMLPipeline.jl,Julia
279,AutoPeptideML,Python
280,autopilot,Python
281,AutoToS,PDDL
282,autotransformer,Python
283,AutoVP,Python
284,AutoXAI4Omics,Python
285,Autozoom-Attack,Python
286,avatar-based-dynamic-chatbot-with-ai-and-ar-capabilities,Java
287,aws-driver,
288,aws-marketplace-automation,Shell
289,aws-marketplace-cp4i,Shell
290,aws_qradar_availability,Python
291,azure-driver,
292,azure-marketplace-arm-templates,Shell
293,azure-sdk-for-go,Go
294,B2Bi-SFG-on-Daffy-RHOCP,
295,ba-handson-jp,
296,ba-wxo-tech-jam,
297,backup-and-restore-stateful-applications-between-iks-and-roks,HTML
298,backwork,Python
299,backwork-backup-consul,Python
300,backwork-backup-files,Python
301,backwork-backup-mongo,Python
302,backwork-backup-mysql,Python
303,backwork-backup-postgresql,Python
304,backwork-backup-xtrabackup,Python
305,backwork-docker,Shell
306,backwork-notifier-http,Python
307,backwork-notifier-sentry,Python
308,backwork-upload-cos,Python
309,backwork-upload-swift,Python
310,BadDiffusion,Python
311,BAGAN,Python
312,bamoe,
313,bamoe-canvas-quarkus-accelerator,
314,bamoe-developer-tools-for-vscode,
315,bamoe-docs,Java
316,bamoe-issues,
317,bank-account,Java
318,bank-customer,Java
319,bank-lc-sim,Jupyter Notebook
320,bank-portal,Java
321,bank-transaction,Java
322,banking-digitalization-using-hybrid-cloud-with-mainframes,HTML
323,banking-risk-mitigation-nlu-studio,JavaScript
324,batch-job-analytics,HTML
325,baw-adp-integration-sample,
326,BayesLTL,Python
327,bbb_lti,Elixir
328,bbolt,Go
329,bcb,Java
330,BCM,Python
331,beacon-for-ibm-dotcom,JavaScript
332,beacon-for-ibm-dotcom-api,JavaScript
333,bee-travels-istio,Shell
334,bee-travels-recommendation-service,
335,beeai-workshop,Jupyter Notebook
336,beep-data-utils,Jupyter Notebook
337,benchbench,Python
338,BenchDrift,Python
339,bias-mitigation-of-machine-learning-models-using-aif360,Jupyter Notebook
340,BigLittleNet,Python
341,binary-matrix-factorization,C++
342,binprint,Go
343,biological_fuzzy_logic_networks,Jupyter Notebook
344,blackbox-adversarial-reprogramming,Python
345,blackbox-ai-models-explained-using-cortexcertifai,Jupyter Notebook
346,blockchain-application-using-fabric-java-sdk,Java
347,Blockchain-DB,
348,blockchain-design-pattern-article,
349,blockchain-enabled-crowdfunding,JavaScript
350,blockchain-events-cloud-functions,TypeScript
351,Blockchain-for-maintaining-Digital-Assets,JavaScript
352,blockchain-maximo,Vue
353,blockchain-network-on-kubernetes,Shell
354,blockchainbean,JavaScript
355,blockchainbean2,TypeScript
356,BlockchainDevelopmentDesignPatterns,
357,BlockchainEvents-CompositeJourney,JavaScript
358,BlockchainNetwork-CompositeJourney,Shell
359,BlockchainPublicRegulationFabric-Food,JavaScript
360,BlockchainSmartContractTrading-CompositeJourney,JavaScript
361,Blockchain_for_TelcoRoaming,JavaScript
362,Blockchain_for_TelcoRoaming_using_IBPV2,JavaScript
363,blog-post-ideas,
364,blog-vios4i,Python
365,blue-cloud-mirror,Vue
366,BlueMatter,JetBrains MPS
367,BluePic,Swift
368,BlueXolo,JavaScript
369,bLVNet-TAM,Python
370,boa-interface-functions,C++
371,bob-demo,Java
372,BOB-externalsupport,
373,bob-oic-tutorials,
374,boltzmann_machine_protein_signalling,Python
375,boolean-matrix-factorization,C++
376,bots,
377,bounded-assembler,
378,boxfs,Python
379,Branched-RAG,Python
380,Breaking-ReAct-Agents-FITD,Python
381,Bridge-Operator,Go
382,bridging-resolution,Python
383,browser-functions,JavaScript
384,build-a-time-series-model-using-fp-predict-plus,
385,Build-an-e-learning-portal-with-Watson-Media,
386,build-an-elearning-portal-with-watson-media,JavaScript
387,build-blockchain-insurance-app,JavaScript
388,build-custom-stt-model-with-diarization,JavaScript
389,build-deploy-cloud-native-application-using-cp4a,HTML
390,build-knowledge-base-with-domain-specific-documents,Jupyter Notebook
391,build-react-native-app-for-watson-discovery,JavaScript
392,buildingimages,Shell
393,business-automation,HTML
394,business-automation-ibm,
395,business-automation-pm,
396,byok,Makefile
397,c2c,
398,ca-dashboard-js-api,HTML
399,Cache-Augmented-Generation-Granite,Python
400,cache-IoT-data-for-Carbon-UI,TypeScript
401,Call-center-EBA,Java
402,call-center-voice-agent,
403,camel-jenkins,Java
404,camera-connector,
405,camunda-external-task-demo,Java
406,cap,Go
407,capital-components,JavaScript
408,car-auction-network-fabric-node-sdk,JavaScript
409,carbon-addons-angular,TypeScript
410,carbon-addons-dotcom,
411,Carbon-capture-fingerprint-generation,Python
412,carbon-charts-builder,TypeScript
413,carbon-components-ember,TypeScript
414,carbon-hugo-theme,HTML
415,carbon-react-code-mirror,JavaScript
416,carbon-shared-tests,
417,carbon-ui-builder,TypeScript
418,carbon-ui-builder-featured-fragments,
419,carekit-hyperprotect-lab,
420,case,Shell
421,cassandra-admin,Lua
422,CAST,C++
423,cat,Jupyter Notebook
424,catalog-create-sample-da,HCL
425,causal-graph-learning,Python
426,Causal-Q-Network,Jupyter Notebook
427,ca_customvis,TypeScript
428,ca_mapping_features,
429,CBOM,
430,cc-dbp,Java
431,ccs-patterns,HCL
432,cdfsl-benchmark,Python
433,ce-cns,Shell
434,ce-vcd-power-schedule,Go
435,cert-manager-webhook-ibmcis,Go
436,cf-auto-scaling-self-healing,JavaScript
437,cf-icd-plugin,Go
438,cf-migration-runtime,Go
439,cf-node-template,TypeScript
440,CFactAI2021,
441,cgiu-ethz,
442,channel-adaptive-eeg-classifier,Python
443,chaostoolkit-ibm,Python
444,charts,Go Template
445,chatbot-deployer,Shell
446,chatbot-endpoint,JavaScript
447,checksumr-agent,Java
448,check_spectrumarchive,Shell
449,chic-sched,Go
450,chiffre,Scala
451,chopstix,C++
452,christophtn-german-tbo,
453,chuk-ai-session-manager,Python
454,chuk-artifacts,Python
455,chuk-llm,Python
456,chuk-mcp,Python
457,chuk-mcp-celestial,Python
458,chuk-mcp-chart,Python
459,chuk-mcp-client-oauth,Python
460,chuk-mcp-dem,Python
461,chuk-mcp-geocoder,Python
462,chuk-mcp-her,Python
463,chuk-mcp-linkedin,Python
464,chuk-mcp-maritime-archives,Python
465,chuk-mcp-math-server,Python
466,chuk-mcp-open-meteo,Python
467,chuk-mcp-perplexity,Python
468,chuk-mcp-physics,Python
469,chuk-mcp-pptx,Python
470,chuk-mcp-runtime,Python
471,chuk-mcp-server,HTML
472,chuk-mcp-solver,Python
473,chuk-mcp-stac,Python
474,chuk-mcp-tides,Python
475,chuk-mcp-time,Python
476,chuk-mcp-vfs,Python
477,chuk-motion,Python
478,chuk-puzzles-gym,Python
479,chuk-sessions,Python
480,chuk-term,Python
481,chuk-tool-processor,Python
482,chuk-virtual-fs,Python
483,ciam-angular-webapp,TypeScript
484,CIAM-mobileapp,Python
485,ciam-nextjs,TypeScript
486,CIAM-Tutorial,
487,CIAM-webapp,TypeScript
488,CICD-Kubernetes-Slack,EJS
489,cicd-source,C
490,cics-bundle-common,Java
491,cics-bundle-gradle,Groovy
492,cics-bundle-maven,Java
493,cics-ia-vs-code-extension,
494,cics-tutorial-bundle-maven-gradle,
495,CIFE,Python
496,cis-integration,Python
497,cis-python-sdk,Python
498,cisco-asa-network-access,Python
499,cities-from-space,JavaScript
500,clai,Python
501,clarity,
502,classfinder,Java
503,classification-rule-datasets,
504,CLEAR,Python
505,CLEVER-Robustness-Score,Python
506,clickhouse-operator-docs,
507,Client-Advocacy-Library,
508,client-insight-wealth-management,CSS
509,cloud-catalog-onboarding,
510,cloud-container-registry-tools,Shell
511,cloud-databases-go-sdk,Go
512,cloud-databases-java-sdk,
513,cloud-databases-node-sdk,JavaScript
514,cloud-databases-python-sdk,Python
515,cloud-db2-go-sdk,Go
516,cloud-db2-java-sdk,Java
517,cloud-db2-node-sdk,TypeScript
518,cloud-db2-python-sdk,Python
519,cloud-enterprise-examples,HCL
520,cloud-functions-operator,Go
521,cloud-functions-workshops,JavaScript
522,cloud-i-blog,SCSS
523,cloud-iam-access-groups-da,
524,cloud-inventory,JavaScript
525,Cloud-Native-Java-with-Quarkus-Quicklab,HTML
526,cloud-native-patterns,Java
527,cloud-native-starter,Shell
528,cloud-native-starter-security-workshop,
529,cloud-operators,Go
530,cloud-pak,Standard ML
531,cloud-pak-cli,
532,cloud-pak-deployer,Jinja
533,cloud-pak-deployer-content,
534,cloud-pak-for-data-examples,
535,cloud-pak-operations-cli,Python
536,cloud-patterns-development,
537,cloud-playground,Python
538,cloud-routing-educational,Jupyter Notebook
539,cloud-service-management-tutorial,Shell
540,cloudant-go-sdk,Go
541,cloudant-java-sdk,Java
542,cloudant-kafka-connector,Java
543,cloudant-node-sdk,TypeScript
544,cloudant-python-sdk,Python
545,cloudant-spring,Java
546,cloudcoins,Swift
547,cloudera-for-cpd,
548,cloudfoundry-deploy,
549,cloudiscovery,Python
550,cloudpak-bringup,
551,cloudpak-gitops,Shell
552,cloudpak-platform-paper,HTML
553,cloudpak-platform.github.io,
554,cloudpakforapplications-appmod-workshop,JavaScript
555,cloudpakforapps-workshop,Java
556,cloudpakfordata-go-sdk,Go
557,cloudpakfordata-java-sdk,Java
558,cloudpakfordata-node-sdk,
559,cloudpakfordata-python-sdk,Python
560,cloudpakfordata-telco-churn-workshop,Jupyter Notebook
561,cloudpakforintegration-workshop,HTML
562,clpsc,Awk
563,cluster-api-bootstrap-virtual-kubelet,Go
564,cluster-api-provider-ibmcloud-managed,
565,cluster-api-provider-ibmvpccloud,Go
566,CMMPPT,C++
567,cmnnc,Python
568,cnicc-vendor,Python
569,CNN-Cert,C
570,coalitions-for-tool-use,Python
571,cobol-is-fun,COBOL
572,code-engine-github-action,
573,code-engine-go-sdk,Go
574,code-engine-java-sdk,Java
575,code-engine-microservices,JavaScript
576,code-engine-node-sdk,TypeScript
577,code-engine-python-sdk,Python
578,CodeEngine,Shell
579,codeflare,
580,codenet-minerva,
581,codenet-minerva-cargo,Python
582,codenet-minerva-cargo-cli,
583,codenet-minerva-challenges,
584,codenet-minerva-java-analyzer,Java
585,codenet-minerva-java-instrumenter,Java
586,codepattern-multitier-vpc,HCL
587,codeready-workspaces-workshop,
588,coffee-donut-instructions,Jupyter Notebook
589,CogMol,
590,cognitive-moderator-service,Python
591,cognitive-social-crm,TypeScript
592,CognitiveConcierge,Swift
593,CognitiveIoT,JavaScript
594,cognos-analytics-to-visualize-business-data,JavaScript
595,cognos-analytics-using-unstructured-data,JavaScript
596,cognos-dancing-dashboard,
597,cognos-dashboard-demo,TypeScript
598,cognosanalyticsformobile,
599,ColBERT-practical,Python
600,colorblind-language,Python
601,ColPret,Jupyter Notebook
602,comanche,C++
603,comical,Jupyter Notebook
604,commands-runner,Go
605,commands-runner-ui,JavaScript
606,commerce-ui,TypeScript
607,commercial-paper-IBP-IKS-OCP-automation,Python
608,CommonLowLevelTracingKit,C++
609,commonsense-rl,Inform 7
610,community-automation,Jinja
611,companion-cube-ruby,Ruby
612,comparing-corpora,Python
613,compiledcodecoverage-about,
614,complex-linear-network-analyzer,Python
615,compliance-trestle-arc42-demo,Makefile
616,compliance-trestle-flask-demo,Python
617,composite-adv,Python
618,CompositionSDK,Go
619,concept_transformer,Python
620,Concert,CSS
621,concert-enablement,Shell
622,concert-sample,CSS
623,concert-utils,Shell
624,conditional-parallel-coordinates,TypeScript
625,Conditional-Variational-Autoencoder-for-Concrete-Design,Jupyter Notebook
626,conductor-code-server-notebook,Shell
627,conductor-h2o-driverlessai,
628,conductor-h2o-sparklingwater,Shell
629,configuration-aggregator-go-sdk,Go
630,conformal_beam_search,Python
631,Connect-your-Machine-Learning-models-to-chatbot-and-WhatsApp,
632,connector-for-storediq,Python
633,constrained-FSCIL,Python
634,constrained-rl,Python
635,container-registry-go-sdk,Go
636,container-registry-java-sdk,Java
637,container-registry-node-sdk,JavaScript
638,container-registry-python-sdk,Python
639,container-security-with-sysdig,
640,container-service-getting-started-wt,Shell
641,container-service-gitlab-sample,Shell
642,containerdiag,Shell
643,containerization-for-sap-s4hana,Python
644,containers,Shell
645,context-driven-personalization-websphere,
646,context-relevant-pruning-textrl,Python
647,ContextAwareJoin,Python
648,contextual-privacy-LLM,Python
649,contingent-plan-executor,Python
650,continuous-delivery-go-sdk,Go
651,continuous-delivery-java-sdk,Java
652,continuous-delivery-node-sdk,JavaScript
653,continuous-delivery-python-sdk,Python
654,continuous-delivery-tools,JavaScript
655,continuous-learning-with-watson-ml-and-db2,TSQL
656,Contrastive-Explanation-Method,Python
657,controlled-peptide-generation,Python
658,controller-filtered-cache,Go
659,controller-zero-scaler,Go
660,conversation-simple-k8s,JavaScript
661,conversational-prompt-engineering,Python
662,convert-to-safetensors,Python
663,cookies,JavaScript
664,cop,Python
665,core-dump-client,JavaScript
666,core-dump-handler,Rust
667,core-dump-operator,Go
668,cornell-big-red-hacks,
669,corobot,
670,corosync,C
671,cos-bucket-operator,Go
672,cos-distcp,Java
673,cos-sample-scripts-js,JavaScript
674,cos-spring,Java
675,cos-spring-boot-example,Java
676,cos-trigger-functions,JavaScript
677,cos-unarchive,Python
678,cos-web-gallery,JavaScript
679,Cost-Management-Operator-On-Z,
680,Cost-Management-Operator-Validation,Go
681,couchbackup,JavaScript
682,count-mvs,Python
683,covid19-india-data,Python
684,covid_health_insurance_assistance,HTML
685,cp4aiops-connectors-ticket-template,Java
686,cp4aiops-gitops,
687,cp4apps-hub,Shell
688,CP4Apps-L3-Demo-Guidance,
689,cp4ba-client-onboarding-scenario,Shell
690,cp4ba-jam-in-a-box,
691,cp4ba-labs,JavaScript
692,cp4ba-rapid-deployment,Shell
693,cp4ba-tech-jam,
694,cp4ba-test-drive,
695,cp4d-coc-toolkit,
696,cp4d-connector-sdk,Java
697,cp4d-connectors-airbyte,Java
698,cp4d-deployment,
699,cp4d-monitors,Python
700,cp4i-aws-blog-repo,
701,cp4i-demos,JavaScript
702,cp4i-deployment-samples,JavaScript
703,cp4i-samples,Java
704,cp4i-workshop,Shell
705,cp4mcm-gitops,
706,cp4mcm-pm-agent-automation,
707,cp4mcm-runtime-management,
708,cp4mcm-samples,Shell
709,CP4MCM-SDK,Java
710,cp4na-samples,
711,cp4s-ansible-collection,Python
712,cp4s-car-connector-framework,Python
713,cp4s-car-connectors,Python
714,cp4s-car-schema,JavaScript
715,cp4s-connector-sdk,
716,cp4waiops-connectors,HTML
717,cp4waiops-connectors-java-template,Java
718,cp4waiops-gitops,
719,cp4waiops-samples,Shell
720,cp4waiops-ui-bundle-tools,TypeScript
721,cpd-cli,Shell
722,CPD-Custom-Image-CLI,Python
723,cpd-intelligent-loan-agent-app,CSS
724,cpd-intelligent-loan-agent-assets,Jupyter Notebook
725,CPD-MLOps-CLI,Python
726,cpd-quick-start-watson-machine-learning,Python
727,CPD-SDK-Plus-Python,Python
728,cpd-workshop-health-care,Python
729,cpdctl,
730,CPDemoFramework,Jupyter Notebook
731,CPDemoFramework-Support,
732,cpe-operator,Go
733,cpg,Python
734,cr2n,Python
735,CRAFT,Python
736,CRAIG,JavaScript
737,create-a-danger-response-tool-using-Watson,JavaScript
738,create-a-predictive-system-for-image-classification-using-deep-learning-as-a-service,Jupyter Notebook
739,create-and-deploy-memcached-operator-using-go,Go
740,Create-BlockchainNetwork-IBPV20,JavaScript
741,creating-cicd-pipelines-with-tekton,Java
742,credential-rotator-operator,Go
743,credit-default-notebook,Jupyter Notebook
744,credit-risk-analysis-with-cognos-analytics-and-watson-studio,Jupyter Notebook
745,credit-risk-workshop-cpd,Jupyter Notebook
746,cristata,Python
747,critic-models,Python
748,cromwell-on-ibmcloud,wdl
749,crossplane-provider-aws,Go
750,crossplane-provider-ibm-cloud,Go
751,crossplane-provider-kubernetes,Go
752,CrossViT,Python
753,CROWN-Robustness-Certification,Python
754,crud-using-nodejs-and-db2,HTML
755,cryoem-simulator,JavaScript
756,CryoRL-pytorch,Python
757,crypto-discovery-news-sentiment-analysis,Jupyter Notebook
758,crypto-masterkey-keystore,Java
759,csi-volume-group,Makefile
760,csi-volume-group-operator,Go
761,CSLiS,C
762,csm-dach-cloud-native-labs,Shell
763,CSM-Rexx-Collection,REXX
764,CSM-SPGI-app-mod,
765,CSM-SPGI-instana-otel,
766,css-gridish,CSS
767,ctgcn-code,Jupyter Notebook
768,CubeSat,
769,cusp,Java
770,custom-javaapp-security-verify-tutorial,HTML
771,customer-churn-prediction,HTML
772,customer-loyalty-program,JavaScript
773,customer-loyalty-program-hyperledger-fabric-VSCode,JavaScript
774,customer-sentiment-on-seller-quality-nlu-cp4d,Jupyter Notebook
775,customer_pos_analytics,Jupyter Notebook
776,customized-deployable-architecture,HCL
777,customized-voice-text-bot-for-whatsapp-telegram,Python
778,CustomPac,
779,cvscan,Go
780,cyber-resiliency-solutions,
781,CyberSkill,Java
782,CZ-IBM-Cloud-Guide,EJS
783,D2A,Python
784,da-bootstrap,Python
785,dac-lib,Go
786,dac-lib-java,Java
787,dap-blueprint,Python
788,dap-blueprint-oso-plugins,Python
789,dap-cs-harmonize,
790,dapcs-oso-framework,Python
791,dapcs-oso-plugins,Python
792,data-access-and-governance-using-cpd-on-aws,
793,data-analysis-using-python,Jupyter Notebook
794,data-and-ai-coc,
795,data-broker,C
796,data-governance-insurance-chatbot-app,HTML
797,data-governance-mask-sensitive-data,HTML
798,data-import,Python
799,data-intelligence-mcp-server,Python
800,data-intelligence-sdk,
801,data-leakage-prevention-filesystem,Python
802,data-pre-processing-with-pywren,Jupyter Notebook
803,data-privacy-passports-dev,
804,data-privacy-toolkit,Java
805,data-product-benchmark,Python
806,data-product-exchange-go-sdk,Go
807,data-product-exchange-java-sdk,Java
808,data-product-exchange-node-sdk,JavaScript
809,data-product-exchange-python-sdk,Python
810,data-product-hub-workflow-samples,
811,data-science-best-practices,Ruby
812,data-virtualization-go-sdk,
813,data-virtualization-java-sdk,
814,data-virtualization-on-cloud-go-sdk,Go
815,data-virtualization-on-cloud-java-sdk,Java
816,data-virtualization-on-cloud-node-sdk,JavaScript
817,data-virtualization-on-cloud-python-sdk,Python
818,data-viz-python-sdk,Python
819,Datacap-ADP-Connector,C#
820,DATACAP-SMART-EXPORT,C#
821,dataframe-pipeline,Python
822,datapower-nano-charts,Go Template
823,datapower-operator-chart,Mustache
824,datapower-operator-doc,
825,datapower-operator-scripts,Shell
